[16-04-2023 18:25:37.778] [INFO] Found mod Applied-Botanics-1.4.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.778] [INFO] Found mod DarkUtilities-Fabric-1.19.2-13.1.7.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.778] [INFO] Found mod VisualWorkbench-v4.2.4-1.19.2-Fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.778] [INFO] Found mod Zoomify-2.9.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.779] [INFO] Found mod ldlib-fabric-1.19.2-1.0.4.b.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.779] [INFO] Found mod scannable-MC1.19.2-fabric-1.7.7+dc5ea09.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.779] [INFO] Found mod squatgrow-3.0.0-build.33+mc1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.779] [INFO] Found mod Bookshelf-Fabric-1.19.2-16.2.18.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.779] [INFO] Found mod fabric-seasons-1.4-BETA+1.19.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.779] [INFO] Found mod entity_texture_features_fabric_1.19.2-4.3.3.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.780] [INFO] Found mod memoryleakfix-fabric-1.17+-1.0.0.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.780] [INFO] Found mod lootr-1.19-0.4.25.64.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.780] [INFO] Found mod elytraslot-fabric-6.1.0+1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.780] [INFO] Found mod resourcefullib-fabric-1.19.2-1.1.24.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.780] [INFO] Found mod kubejs-create-fabric-1902.1.1-build.35.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.781] [INFO] Found mod ForgeConfigAPIPort-v4.2.11-1.19.2-Fabric.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.781] [INFO] Found mod kubejs-fabric-1902.6.0-build.142.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.781] [INFO] Found mod lambdynamiclights-2.2.0+1.19.2.jar on the drive! Added to Verification queue.
[16-04-2023 18:25:37.781] [INFO] Found mod entityculling-fabric-1.6.1-mc1.19.2.jar on the drive! Added to Verification queue.
